,doc1,feq_doc1,doc2,feq_doc2,doc3,feq_doc3,doc4,feq_doc4,doc5,feq_doc5,doc6,feq_doc6,doc7,feq_doc7,doc8,feq_doc8,doc9,feq_doc9,doc10,feq_doc10,doc11,feq_doc11,doc12,feq_doc12,doc13,feq_doc13,doc14,feq_doc14,doc15,feq_doc15,doc16,feq_doc16,doc17,feq_doc17,doc18,feq_doc18,doc19,feq_doc19,doc20,feq_doc20
33,edit,11.0,energy,11.0,player,2.0,cell,17.0,edit,21.0,such,29.0,commissions,11.0,edit,25.0,santi,2.0,social,2.0,rightvert,12.0,150,7.0,machines,3.0,season,5.0,babies,20.0,lyndale,7.0,edit,6.0,century,2.0,were,43,be,45.0
34,were,11.0,not,11.0,guard,2.0,can,17.0,be,21.0,an,29.0,conduct,11.0,from,23.0,e,2.0,enterprise,2.0,4,11.0,centre,6.0,have,3.0,second,5.0,should,20.0,4,7.0,which,6.0,indian,2.0,i,41,were,45.0
35,it,11.0,an,11.0,played,2.0,cells,17.0,has,21.0,than,28.0,workplace,11.0,which,22.0,matrice,2.0,united,2.0,0,11.0,brussels,6.0,has,3.0,division,5.0,with,20.0,company,7.0,named,6.0,1,2.0,him,39,would,40.0
36,ritual,11.0,latitude,11.0,marine,2.0,leading,16.0,bavarian,20.0,species,28.0,australian,10.0,united,21.0,sebastian,2.0,kingdom,2.0,leq,10.0,frenchspeaking,6.0,used,3.0,32,5.0,body,20.0,edit,7.0,victoria,5.0,advocate,2.0,one,36,jr,39.0
37,will,11.0,or,10.0,corps,2.0,lagging,16.0,other,20.0,but,28.0,v,10.0,would,21.0,phillip,2.0,working,2.0,lefta,10.0,walloon,6.0,1,3.0,attendance,5.0,age,19.0,remington,7.0,institute,5.0,written,2.0,or,36,who,38.0
38,de,10.0,scale,10.0,made,2.0,end,16.0,sep,19.0,at,28.0,legislation,10.0,not,19.0,neri,2.0,benefit,2.0,5,9.0,french,6.0,autopost,3.0,12,5.0,2010,18.0,building,7.0,sport,5.0,raise,2.0,became,34,sclc,38.0
39,rituals,10.0,heat,10.0,allstar,2.0,which,16.0,oct,19.0,prey,27.0,which,10.0,said,19.0,ntonino,1.0,donated,2.0,6,9.0,8,6.0,was,3.0,14,5.0,an,17.0,into,6.0,women,5.0,awareness,2.0,when,34,this,36.0
40,who,10.0,high,10.0,rochester,2.0,new,15.0,after,18.0,about,27.0,2003,9.0,also,18.0,also,1.0,private,2.0,reciprocals,9.0,belgium,6.0,paper,3.0,acourt,5.0,nutrition,16.0,also,6.0,opals,5.0,poaching,2.0,who,34,which,36.0
41,have,10.0,water,10.0,davies,2.0,two,15.0,that,18.0,it,27.0,it,9.0,is,18.0,called,1.0,with,2.0,r,9.0,11,6.0,vending,2.0,rowley,5.0,development,16.0,or,6.0,championships,5.0,their,2.0,after,33,been,33.0
42,santero,10.0,but,9.0,contender,2.0,forks,15.0,city,18.0,been,26.0,2005,9.0,us,18.0,chiaro,1.0,chenies,2.0,dots,8.0,1999,6.0,showing,2.0,48,5.0,mother,16.0,life,6.0,that,5.0,ivory,2.0,their,33,also,31.0
43,used,10.0,over,9.0,their,2.0,rna,15.0,during,17.0,these,26.0,not,9.0,navy,17.0,june,1.0,mews,2.0,limit,8.0,votes,6.0,selection,2.0,84,5.0,have,16.0,northwestern,6.0,world,5.0,2,2.0,all,32,washington,30.0
44,priests,10.0,they,9.0,from,2.0,one,14.0,one,17.0,most,25.0,have,9.0,official,16.0,1826,1.0,mri,2.0,varepsilon,8.0,2004,6.0,that,2.0,9,5.0,fetus,16.0,guaranty,6.0,14,5.0,silver,2.0,william,28,national,30.0
45,through,10.0,pressure,9.0,became,2.0,through,14.0,0,17.0,has,25.0,would,9.0,have,16.0,sicily,1.0,on,2.0,sigma,8.0,40,6.0,may,2.0,10,5.0,would,16.0,loan,6.0,seattle,4.0,medal,2.0,england,28,one,30.0
46,may,10.0,result,9.0,first,2.0,not,14.0,theresienwiese,16.0,not,23.0,is,9.0,team,15.0,–,1.0,fund,2.0,x,8.0,language,6.0,selfadhesive,2.0,20,5.0,retrieved,16.0,property,6.0,storm,4.0,at,2.0,have,27,after,29.0
47,saints,9.0,can,8.0,inducted,2.0,protein,14.0,traditional,16.0,one,23.0,federal,8.0,be,15.0,1897,1.0,new,2.0,partial,7.0,chamber,5.0,design,2.0,89,5.0,1,15.0,that,6.0,wnba,4.0,2015,2.0,its,26,freedom,28.0
48,people,9.0,walker,8.0,into,2.0,5,13.0,parade,16.0,human,22.0,industrial,8.0,international,14.0,painter,1.0,wikipedia,1.0,all,7.0,24,5.0,are,2.0,pen,5.0,baby,15.0,innes,6.0,australia,4.0,moonbeam,2.0,states,25,day,28.0
49,religious,9.0,southern,8.0,fame,2.0,direction,13.0,horse,16.0,some,22.0,powers,8.0,its,14.0,biography,1.0,free,1.0,produce,7.0,elections,5.0,post,2.0,1955–56,4.0,6,15.0,3,5.0,1,4.0,children,2.0,many,25,said,28.0
50,divination,9.0,there,8.0,moved,2.0,origins,12.0,been,15.0,small,21.0,his,8.0,one,14.0,edit,1.0,encyclopedia,1.0,diverges,7.0,psc,5.0,office,2.0,league,4.0,bmi,15.0,early,5.0,career,4.0,awards,2.0,but,25,you,28.0
51,those,9.0,eastern,8.0,cincinnati,2.0,origin,12.0,there,15.0,more,21.0,note,8.0,cause,13.0,born,1.0,is,1.0,lim,7.0,year,5.0,these,2.0,manchester,4.0,b,15.0,2,5.0,dandenong,4.0,3,2.0,more,25,campaign,27.0
52,has,9.0,zone,8.0,coached,2.0,nucleotide,12.0,bavaria,14.0,its,20.0,2002,8.0,incident,13.0,doctor,1.0,wholly,1.0,terms,6.0,–,5.0,type,2.0,leeds,4.0,healthy,14.0,areas,5.0,boomers,4.0,early,2.0,they,25,speech,27.0
53,life,9.0,western,8.0,pittsford,2.0,it,12.0,october,14.0,often,19.0,cth,7.0,found,13.0,studied,1.0,owned,1.0,an,6.0,15,5.0,meter,2.0,4,4.0,pregnant,14.0,empire,5.0,2010,4.0,life,2.0,united,24,they,27.0
54,santeros,9.0,has,7.0,new,2.0,during,11.0,million,14.0,around,19.0,australia,7.0,experts,12.0,gandolfi,1.0,trading,1.0,k1,6.0,ideology,4.0,different,2.0,payne,4.0,famine,14.0,farm,5.0,is,4.0,4,2.0,time,24,him,26.0
55,herbs,9.0,for,7.0,york,2.0,or,11.0,event,14.0,when,18.0,2001,7.0,states,12.0,prominent,1.0,subsidiary,1.0,number,6.0,democracy,4.0,including,2.0,dickson,4.0,also,14.0,sold,5.0,also,4.0,edit,2.0,while,24,president,25.0
56,asiento,8.0,may,7.0,robert,1.0,polymerases,11.0,have,14.0,were,18.0,justice,7.0,joint,12.0,artist,1.0,it,1.0,there,6.0,humanism,4.0,usa,2.0,55,4.0,27,14.0,many,5.0,two,4.0,has,2.0,america,23,us,25.0
57,united,8.0,large,7.0,francis,1.0,single,11.0,also,13.0,female,18.0,abcc,7.0,time,12.0,age,1.0,its,1.0,ell,6.0,people,4.0,history,2.0,60,4.0,was,13.0,properties,4.0,had,4.0,by,2.0,london,23,other,24.0
58,states,8.0,movement,7.0,bobby,1.0,pol,11.0,3,13.0,animals,17.0,may,7.0,explosion,12.0,19,1.0,kind,1.0,such,6.0,s,4.0,3,2.0,40,4.0,at,13.0,developed,4.0,but,4.0,writing,2.0,later,23,against,24.0
59,court,8.0,ocean,7.0,known,1.0,into,10.0,grounds,13.0,behavior,17.0,cfmeu,7.0,after,12.0,years,1.0,remains,1.0,positive,6.0,representatives,4.0,4,2.0,17,4.0,such,13.0,calhoun,4.0,championship,4.0,2012,2.0,years,23,dream,24.0
60,these,8.0,latitudes,7.0,hooks,1.0,growing,10.0,place,12.0,between,16.0,employment,7.0,submarine,11.0,travelled,1.0,one,1.0,so,6.0,senate,4.0,experiments,2.0,22,4.0,not,13.0,time,4.0,injury,4.0,on,2.0,us,23,war,24.0
61,must,8.0,features,7.0,june,1.0,primers,10.0,security,12.0,however,16.0,divisional,7.0,over,11.0,where,1.0,few,1.0,16,6.0,community,4.0,but,2.0,36,4.0,infant,13.0,william,4.0,rebounds,4.0,ul,1.0,two,23,more,24.0
62,person,8.0,edit,7.0,1921,1.0,chain,10.0,due,12.0,felis,15.0,relating,7.0,has,11.0,worked,1.0,independent,1.0,8,6.0,electoral,4.0,printing,2.0,1–1,4.0,hypothesis,13.0,financial,4.0,training,4.0,wikipedia,1.0,house,23,out,24.0
63,13,8.0,more,7.0,–,1.0,bacteria,10.0,german,11.0,no,15.0,any,7.0,he,11.0,natale,1.0,organisations,1.0,or,6.0,general,4.0,technology,2.0,4–1,4.0,more,13.0,charges,4.0,may,4.0,free,1.0,british,22,death,23.0
64,world,7.0,moves,7.0,american,1.0,phosphate,10.0,large,11.0,them,15.0,this,7.0,this,11.0,carta,1.0,direct,1.0,nto,6.0,1995,4.0,patent,2.0,liverpool,3.0,weeks,13.0,died,4.0,from,3.0,encyclopedia,1.0,them,22,people,23.0
65,animal,7.0,east,7.0,6,1.0,bonds,10.0,then,11.0,birds,15.0,established,6.0,kim,11.0,francesco,1.0,an,1.0,root,6.0,59,4.0,switzerland,2.0,home,3.0,24,13.0,john,4.0,forward,3.0,paul,1.0,boston,20,american,23.0
66,this,7.0,level,7.0,0,1.0,other,10.0,days,11.0,used,15.0,no,6.0,april,11.0,coghetti,1.0,institution,1.0,numbers,5.0,démocrate,3.0,special,2.0,in,3.0,glucose,12.0,when,4.0,personal,3.0,writer,1.0,most,20,nonviolent,23.0
67,become,7.0,west,7.0,collegiately,1.0,many,10.0,2010,11.0,male,15.0,2004,6.0,announced,11.0,academy,1.0,since,1.0,sums,5.0,humaniste,3.0,not,2.0,3,3.0,low,12.0,while,4.0,born,3.0,based,1.0,would,20,life,23.0
68,catholic,7.0,does,7.0,university,1.0,primase,10.0,breweries,11.0,body,14.0,senate,6.0,we,11.0,luca,1.0,1985,1.0,exists,5.0,with,3.0,success,2.0,31,3.0,can,12.0,an,4.0,june,3.0,vancouver,1.0,during,20,church,23.0
69,most,7.0,westerlies,7.0,leading,1.0,sites,10.0,’,11.0,main,14.0,its,6.0,government,11.0,which,1.0,has,1.0,not,5.0,humanist,3.0,being,2.0,sheffield,3.0,recommended,12.0,hotel,4.0,1987,3.0,british,1.0,may,19,white,23.0
70,initiated,7.0,land,7.0,162,1.0,free,9.0,only,11.0,like,13.0,reform,6.0,stated,11.0,attended,1.0,excess,1.0,be,5.0,cdh,3.0,onto,2.0,wednesday,3.0,risk,11.0,it,4.0,melbourne,3.0,columbia,1.0,richard,19,did,23.0
71,there,7.0,article,6.0,record,1.0,bases,9.0,paulaner,11.0,known,13.0,within,6.0,march,10.0,awarded,1.0,£25,1.0,divergent,5.0,by,3.0,us,2.0,85,3.0,calories,11.0,first,4.0,bulleen,3.0,canada,1.0,also,19,all,23.0
72,many,7.0,–,6.0,sophomore,1.0,also,9.0,year,10.0,years,13.0,court,6.0,island,10.0,number,1.0,million,1.0,cauchy,5.0,political,3.0,service,2.0,blackburn,3.0,by,11.0,development,4.0,2011,3.0,he,1.0,her,19,we,23.0
73,s,7.0,those,6.0,enlisted,1.0,used,9.0,served,10.0,play,13.0,leave,6.0,3,10.0,prizes,1.0,that,1.0,also,5.0,6,3.0,tamp,1.0,5,3.0,diet,11.0,million,4.0,olympic,3.0,writes,1.0,such,19,its,22.0
74,its,6.0,be,6.0,us,1.0,sequences,9.0,its,10.0,only,13.0,matters,6.0,russian,10.0,able,1.0,make,1.0,edit,5.0,72,3.0,wikipedia,1.0,leicester,3.0,since,11.0,louis,3.0,medal,3.0,short,1.0,never,19,fbi,22.0
75,yoruba,6.0,masses,6.0,allpacific,1.0,termination,9.0,needed,10.0,usually,13.0,person,6.0,but,10.0,travel,1.0,up,1.0,alternating,5.0,is,3.0,free,1.0,7,3.0,november,11.0,history,3.0,london,3.0,stories,1.0,other,18,time,22.0
76,ceremonies,6.0,el,6.0,armed,1.0,eukaryotes,9.0,can,10.0,food,13.0,inquiry,6.0,group,10.0,paris,1.0,foundation,1.0,converge,5.0,region,3.0,encyclopedia,1.0,nottingham,3.0,total,11.0,developing,3.0,an,3.0,screenplays,1.0,france,18,or,22.0
77,4,6.0,also,6.0,forces,1.0,between,9.0,world,9.0,males,13.0,applicants,6.0,any,10.0,frequently,1.0,now,1.0,in,5.0,federal,3.0,inside,1.0,forest,3.0,23,11.0,housing,3.0,member,3.0,across,1.0,been,18,ray,22.0
78,sacred,6.0,wind,6.0,participated,1.0,have,9.0,largest,9.0,mammals,12.0,bill,6.0,or,10.0,caught,1.0,operates,1.0,as,5.0,results,3.0,before,1.0,47,3.0,c,11.0,including,3.0,junior,3.0,genres,1.0,chess,18,assassination,21.0
79,cuba,6.0,poleward,6.0,occupation,1.0,called,9.0,held,9.0,being,12.0,into,5.0,response,10.0,up,1.0,across,1.0,infinite,4.0,regional,3.0,range,1.0,lincoln,3.0,has,10.0,area,3.0,24,3.0,including,1.0,ben,18,1963,21.0
80,can,6.0,part,6.0,guam,1.0,because,9.0,16,9.0,use,12.0,alleged,5.0,security,9.0,uprising,1.0,two,1.0,any,4.0,new,3.0,values,1.0,46,3.0,which,10.0,built,3.0,12,3.0,literary,1.0,man,18,vietnam,21.0
81,called,6.0,deviates,6.0,selected,1.0,than,9.0,people,9.0,common,12.0,parliament,5.0,rescue,9.0,1848–49,1.0,divisions,1.0,ngeq,4.0,2003,3.0,selected,1.0,fulham,3.0,than,10.0,which,3.0,2003,3.0,young,1.0,wrote,18,later,21.0
82,saint,6.0,system,6.0,by,1.0,synthesized,9.0,part,9.0,several,12.0,recommendations,5.0,later,9.0,aided,1.0,healthcare,1.0,criterion,4.0,2007,3.0,gummed,1.0,swansea,3.0,high,10.0,legal,3.0,19,3.0,adult,1.0,we,18,peace,20.0
83,head,6.0,warm,6.0,1947,1.0,primer,9.0,took,9.0,high,11.0,advocate,5.0,than,9.0,defense,1.0,which,1.0,rightarrow,4.0,2010,3.0,common,1.0,town,3.0,there,10.0,against,3.0,won,3.0,include,1.0,colonies,17,states,20.0
84,other,6.0,cold,6.0,bob,1.0,eukaryotic,9.0,until,9.0,social,11.0,2,5.0,claimed,9.0,brief,1.0,works,1.0,32,4.0,for,3.0,issued,1.0,port,3.0,period,10.0,several,3.0,17,3.0,set,1.0,society,17,during,20.0
85,some,6.0,strong,6.0,steered,1.0,complex,9.0,day,9.0,hunting,11.0,terms,5.0,their,9.0,republic,1.0,partnership,1.0,are,4.0,55,3.0,automatic,1.0,vale,3.0,help,10.0,york,3.0,averaged,3.0,against,1.0,against,17,public,20.0
86,medical,6.0,these,5.0,nbl,1.0,cycle,9.0,17,9.0,because,11.0,further,5.0,reported,9.0,during,1.0,imaging,1.0,by,4.0,62,3.0,teller,1.0,stoke,3.0,life,9.0,near,3.0,part,3.0,backdrop,1.0,life,17,black,20.0
87,osaín,6.0,when,5.0,initially,1.0,helix,8.0,public,9.0,although,11.0,6,5.0,into,9.0,these,1.0,centre,1.0,diverge,4.0,increase,3.0,user,1.0,middlesbrough,3.0,small,9.0,purchase,3.0,up,3.0,indenture,1.0,about,17,united,20.0
88,caribbean,5.0,thermal,5.0,reserve,1.0,its,8.0,toilets,9.0,will,11.0,kingham,5.0,released,9.0,battles,1.0,dedicated,1.0,comparison,4.0,2009,3.0,s,1.0,bury,3.0,gestation,9.0,present,3.0,28,3.0,protecting,1.0,god,17,will,20.0
89,worship,5.0,systems,5.0,behind,1.0,form,8.0,all,9.0,into,11.0,ferguson,5.0,evidence,8.0,acquired,1.0,clinical,1.0,0leq,4.0,from,2.0,choice,1.0,west,3.0,underweight,9.0,exchange,3.0,early,3.0,awarded,1.0,own,17,1964,19.0
90,roman,5.0,effect,5.0,al,1.0,sequence,8.0,not,9.0,both,11.0,these,5.0,20,8.0,afflictions,1.0,research,1.0,does,4.0,not,2.0,at,1.0,ham,3.0,adult,9.0,law,3.0,as,3.0,contents,1.0,into,17,first,18.0
91,lucumí,5.0,however,5.0,cervi,1.0,has,8.0,mayor,9.0,much,11.0,there,5.0,council,8.0,that,1.0,cardiac,1.0,ratio,4.0,president,2.0,time,1.0,74,3.0,when,9.0,but,3.0,not,3.0,hide,1.0,only,17,no,18.0
92,ilekes,5.0,niño,5.0,red,1.0,factories,8.0,order,9.0,kittens,11.0,division,5.0,attack,8.0,troubled,1.0,magnetic,1.0,but,4.0,founded,2.0,dispensed,1.0,doncaster,3.0,if,9.0,court,3.0,first,3.0,references,1.0,are,17,than,18.0
93,see,5.0,oscillation,5.0,holzman,1.0,all,7.0,und,9.0,1,10.0,union,5.0,chinese,8.0,him,1.0,resonance,1.0,int,4.0,1968,2.0,fixed,1.0,barnsley,3.0,food,9.0,expedition,3.0,only,3.0,external,1.0,office,16,about,17.0
94,8,5.0,mass,5.0,later,1.0,number,7.0,or,8.0,pets,10.0,other,5.0,used,8.0,remainder,1.0,facility,1.0,power,4.0,national,2.0,rates,1.0,rotherham,3.0,after,9.0,natural,3.0,did,3.0,links,1.0,political,16,montgomery,17.0
95,system,5.0,rising,5.0,teamed,1.0,initiation,7.0,18,8.0,claws,10.0,made,5.0,naval,8.0,life,1.0,2,1.0,conditionally,4.0,des,2.0,typically,1.0,notts,3.0,blood,9.0,some,3.0,by,3.0,born,1.0,known,16,james,17.0
96,enslaved,5.0,about,5.0,form,1.0,known,7.0,century,8.0,population,10.0,minister,5.0,24,8.0,from,1.0,history,1.0,means,3.0,5,2.0,use,1.0,county,3.0,stage,9.0,investors,3.0,13,3.0,london,1.0,colonial,16,do,17.0
97,during,5.0,area,5.0,potent,1.0,structure,7.0,race,8.0,article,10.0,law,5.0,25,8.0,1853,1.0,edit,1.0,tests,3.0,centreleft,2.0,retail,1.0,plymouth,3.0,kilograms,9.0,francois,2.0,16,3.0,england,1.0,josiah,16,memorial,16.0
98,priestess,5.0,upper,5.0,backcourt,1.0,hydrogen,7.0,main,8.0,wildcat,10.0,effect,5.0,caused,8.0,went,1.0,formed,1.0,conditional,3.0,affiliation,2.0,environments,1.0,argyle,3.0,infants,8.0,1850,2.0,lauren,3.0,graduated,1.0,did,16,racial,16.0
99,practitioners,5.0,easterly,5.0,day,1.0,within,7.0,münchner,8.0,f,10.0,appointed,5.0,about,8.0,into,1.0,24,1.0,absolute,3.0,flemish,2.0,only,1.0,hull,3.0,recommendations,8.0,1924,2.0,jackson,3.0,1980,1.0,made,16,city,16.0
100,been,5.0,cool,5.0,very,1.0,enzymes,7.0,over,8.0,was,10.0,inappropriate,5.0,water,8.0,exile,1.0,september,1.0,uniform,3.0,63,2.0,varies,1.0,3–1,3.0,obese,8.0,born,2.0,would,3.0,with,1.0,has,16,committee,16.0
